DateTime;Resolution code;Quality status;Net regulation volume;Strategic reserve price;Marginal incremental price;IGCC+;aFRR+;Bids+;mFRR Standard Price;mFRR Flex Price;Inter-TSO import;Marginal decremental price;IGCC-;aFRR-;Bids-;Inter-TSO export
2024-01-27T06:15:00+01:00;PT15M;Not Validated;-31.765;;125.2;125.2;125.2;;;;;-430.31;-430.31;-430.31;;
2024-01-27T06:00:00+01:00;PT15M;Not Validated;82.062;;120.34;120.34;120.34;;;;;-99.43;-99.43;-99.43;;
2024-01-27T05:45:00+01:00;PT15M;Not Validated;73.332;;125.16;125.16;125.16;;;;;-152.79;-152.79;-152.79;;
2024-01-27T05:30:00+01:00;PT15M;Not Validated;34.066;;120.2;120.2;120.2;;;;;-22.78;-22.78;-22.78;;
2024-01-27T05:15:00+01:00;PT15M;Not Validated;32.539;;120.2;120.2;120.2;;;;;5.0;5.0;5.0;;
2024-01-27T05:00:00+01:00;PT15M;Not Validated;29.457;;122.76;122.76;122.76;;;;;-290.81;-290.81;-290.81;;
2024-01-27T04:45:00+01:00;PT15M;Not Validated;72.237;;120.2;120.2;120.2;;;;;-124.35;-124.35;-124.35;;
2024-01-27T04:30:00+01:00;PT15M;Not Validated;103.557;;121.16;121.16;121.16;;;;;-136.12;-136.12;-136.12;;
2024-01-27T04:15:00+01:00;PT15M;Not Validated;74.798;;120.2;120.2;120.2;;;;;-123.47;-123.47;-123.47;;
2024-01-27T04:00:00+01:00;PT15M;Not Validated;65.345;;128.7;128.7;128.7;;;;;-346.65;-346.65;-346.65;;
2024-01-27T03:45:00+01:00;PT15M;Not Validated;112.548;;225.0;125.2;125.2;225.0;150.0;;;-96.49;-96.49;-96.49;;
2024-01-27T03:30:00+01:00;PT15M;Not Validated;97.394;;225.0;125.2;125.2;225.0;150.0;;;-151.39;-151.39;-151.39;;
2024-01-27T03:15:00+01:00;PT15M;Not Validated;267.859;;225.0;120.82;120.82;225.0;150.0;;;-230.44;-230.44;-230.44;;
2024-01-27T03:00:00+01:00;PT15M;Not Validated;198.602;;125.2;124.12;124.12;125.2;;;;5.0;5.0;5.0;;
